DistrictCode,SchoolCode,SARCYear,CSNAPC,ENAPC,FPANAPC,FLNAPC,MNAPC,SNAPC,SSNAPC,ALLNAPC,PSIAPC
1964733,0132282,2020-21,0,2,0,0,1,2,3,8,22.7
3066464,6098495,2020-21,0,0,0,0,0,0,0,0,
1964733,6019350,2020-21,0,0,0,0,0,0,0,0,
1062042,6005797,2020-21,0,0,0,0,0,0,0,0,
1964733,6015903,2020-21,0,0,0,0,0,0,0,0,
5071217,6052955,2020-21,0,0,0,0,0,0,0,0,
1964634,6014492,2020-21,0,0,0,0,0,0,0,0,
4369674,6048987,2020-21,0,0,0,0,0,0,0,0,
5110512,6069454,2020-21,0,0,0,0,0,0,0,0,.0
3467314,0105908,2020-21,0,0,0,0,0,0,0,0,
3367199,6032502,2020-21,0,0,0,0,0,0,0,0,
1964857,6105613,2020-21,0,0,0,0,0,0,0,0,
3775416,0139451,2020-21,0,0,0,0,0,0,0,0,.0
1964451,6012793,2020-21,0,0,0,0,0,0,0,0,
1263008,6008122,2020-21,0,0,0,0,0,0,0,0,
3768197,6038475,2020-21,0,0,0,0,0,0,0,0,
3375242,3330552,2020-21,0,12,6,4,10,12,28,76,24.3
3375192,6107254,2020-21,0,0,0,0,0,0,0,0,
3768338,0124115,2020-21,0,0,0,0,0,0,0,0,
3868478,0101352,2020-21,0,0,0,0,0,0,0,0,
5075564,5031950,2020-21,0,0,0,0,0,0,0,0,.0
3266969,3235603,2020-21,1,6,0,0,3,1,2,13,20.9
4369518,6047427,2020-21,0,0,0,0,0,0,0,0,
1964725,6015507,2020-21,0,0,0,0,0,0,0,0,
2475366,2430114,2020-21,0,1,2,1,1,4,9,18,18.8
1964311,6011779,2020-21,0,0,0,0,0,0,0,0,
3066647,6095160,2020-21,0,0,0,0,0,0,0,0,
3768213,3730934,2020-21,0,0,0,0,0,0,0,0,.0
3768346,3731007,2020-21,2,7,3,1,4,5,20,42,41.2
1964733,0122861,2020-21,0,0,0,0,0,0,0,0,
5376513,5330014,2020-21,0,0,0,0,0,0,0,0,.0
0761770,6004444,2020-21,0,0,0,0,0,0,0,0,
1975309,0138297,2020-21,0,0,0,0,0,0,0,0,
2775440,0106112,2020-21,0,0,0,0,0,0,0,0,.0
3767983,6115315,2020-21,0,0,0,0,0,0,0,0,
1964733,0109314,2020-21,0,0,0,0,0,0,0,0,
2766142,6026561,2020-21,0,0,0,0,0,0,0,0,
3667959,6037402,2020-21,0,0,0,0,0,0,0,0,
1964733,6016547,2020-21,0,0,0,0,0,0,0,0,
1964329,6011845,2020-21,0,0,0,0,0,0,0,0,
2710272,0124297,2020-21,0,0,0,0,0,0,0,0,
5471860,6112684,2020-21,0,0,0,0,0,0,0,0,
4369385,0133439,2020-21,0,0,0,0,0,0,0,0,
3066597,6029391,2020-21,0,0,0,0,0,0,0,0,
5672603,6060354,2020-21,0,0,0,0,0,0,0,0,
3667611,6035372,2020-21,0,0,0,0,0,0,0,0,
4369666,4337200,2020-21,0,0,0,0,0,0,0,0,.0
4068809,4030045,2020-21,0,0,0,0,0,0,0,0,.0
3467421,6069744,2020-21,0,0,0,0,0,0,0,0,
3366993,0129882,2020-21,0,1,0,0,2,0,6,9,5.4
3467314,3432572,2020-21,0,3,0,3,4,3,6,19,18.7
0161259,0123711,2020-21,0,0,0,0,0,0,0,0,
4870532,6051049,2020-21,0,0,0,0,0,0,0,0,
4970623,6051619,2020-21,0,0,0,0,0,0,0,0,
5673759,6118582,2020-21,0,0,0,0,0,0,0,0,
5271522,6053474,2020-21,0,0,0,0,0,0,0,0,
3768338,6096051,2020-21,0,0,0,0,0,0,0,0,
3968585,3930443,2020-21,0,0,0,0,0,0,0,0,.0
1964352,1930239,2020-21,0,0,0,0,0,0,0,0,.0
3768452,6110399,2020-21,0,0,0,0,0,0,0,0,
3066621,6071120,2020-21,0,0,0,0,0,0,0,0,
0161309,0111799,2020-21,0,0,0,1,0,0,1,2,3.9
2475317,0123091,2020-21,0,0,0,0,0,0,0,0,
0761796,0116319,2020-21,0,0,0,0,0,0,0,0,
3467447,6034433,2020-21,0,0,0,0,0,0,0,0,
3073643,3037553,2020-21,0,6,4,3,3,6,10,32,20.1
4469807,0110007,2020-21,2,3,3,2,4,4,11,29,3.2
4269229,6060024,2020-21,0,0,0,0,0,0,0,0,
1964733,6016885,2020-21,0,2,1,5,1,3,2,14,30.6
1663917,6118798,2020-21,0,0,0,0,0,0,0,0,
1964550,6013593,2020-21,0,0,0,0,0,0,0,0,
3868478,6040828,2020-21,0,0,0,0,0,0,0,0,
4369641,6060065,2020-21,0,0,0,0,0,0,0,0,
2766142,6026587,2020-21,0,0,0,0,0,0,0,0,
3166910,6031223,2020-21,0,0,0,0,0,0,0,0,
3768197,6111207,2020-21,0,0,0,0,0,0,0,0,
4973882,6099246,2020-21,0,0,0,0,0,0,0,0,
4569989,4530234,2020-21,0,0,0,0,0,0,0,0,.0
3667710,6035869,2020-21,0,0,0,0,0,0,0,0,
3667595,6104475,2020-21,0,0,0,0,0,0,0,0,
2966373,6105811,2020-21,0,0,0,0,0,0,0,0,
