C,D,S,SARCYear,ETES,ENTS,EPTS,EPNTS,EMES,ETEM,ENTM,EPTM,EPNTEM,EMMEM,ETEF,ENTF,EPTF,EPNTEF,EMMEF,ETEAI,ENTAI,EPTAI,EPNTAI,EMEAI,ETEAS,ENTAS,EPTAS,EPNTAS,EMEAS,ETEPI,ENTPI,EPTPI,EPNTPI,EMEPI,ETEFI,ENTFI,EPTFI,EPNTFI,EMEFI,ETEHI,ENTHI,EPTHI,EPNTHI,EMEHI,ETEAA,ENTAA,EPTAA,EPNTAA,EMEAA,ETEWH,ENTWH,EPTWH,EPNTWH,EMEWH,ETEMR,ENTMR,EPTMR,EPNTMR,EMEMR,ETELEP,ENTLEP,EPTLEP,EPNTLEP,EMELEP,ETEFY,ENTFY,EPTFY,EPNTFY,EMEFY,ETEH,ENTH,EPTH,EPNTH,EMEH,ETEMIL,ENTMIL,EPTMIL,EPNTMIL,EMEMIL,ETESD,ENTSD,EPTSD,EPNTSD,EMESD,ETEMIG,ENTMIG,EPTMIG,EPNTMIG,EMEMIG,ETEDI,ENTDI,EPTDI,EPNTDI,EMEDI
37,68130,3737905,2020-2021,409,130,31.78,68.22,71.32,210,64,30.48,69.52,73.02,199,66,33.17,66.83,69.70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,115,31,26.96,73.04,70.00,--,--,--,--,--,250,84,33.60,66.40,69.05,11,5,45.45,54.55,--,18,5,27.78,72.22,--,0,0,0,0,0,--,--,--,--,--,12,2,16.67,83.33,--,192,57,29.69,70.31,63.16,0,0,0,0,0,69,19,27.54,72.46,10.53
37,68338,6059596,2020-2021,690,NT,NT,NT,NT,367,NT,NT,NT,NT,323,NT,NT,NT,NT,--,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,203,NT,NT,NT,NT,26,NT,NT,NT,NT,363,NT,NT,NT,NT,76,NT,NT,NT,NT,33,NT,NT,NT,NT,--,NT,NT,NT,NT,30,NT,NT,NT,NT,89,NT,NT,NT,NT,213,NT,NT,NT,NT,0,0,0,0,0,106,NT,NT,NT,NT
33,67033,6110589,2020-2021,344,NT,NT,NT,NT,172,NT,NT,NT,NT,172,NT,NT,NT,NT,0,0,0,0,0,20,NT,NT,NT,NT,--,NT,NT,NT,NT,15,NT,NT,NT,NT,186,NT,NT,NT,NT,36,NT,NT,NT,NT,70,NT,NT,NT,NT,13,NT,NT,NT,NT,51,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,178,NT,NT,NT,NT,0,0,0,0,0,46,NT,NT,NT,NT
19,64279,6011332,2020-2021,262,NT,NT,NT,NT,125,NT,NT,NT,NT,137,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,239,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,97,NT,NT,NT,NT,--,NT,NT,NT,NT,22,NT,NT,NT,NT,16,NT,NT,NT,NT,238,NT,NT,NT,NT,0,0,0,0,0,49,NT,NT,NT,NT
36,67876,0116178,2020-2021,823,NT,NT,NT,NT,399,NT,NT,NT,NT,424,NT,NT,NT,NT,--,NT,NT,NT,NT,20,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,673,NT,NT,NT,NT,60,NT,NT,NT,NT,30,NT,NT,NT,NT,23,NT,NT,NT,NT,38,NT,NT,NT,NT,--,NT,NT,NT,NT,56,NT,NT,NT,NT,0,0,0,0,0,740,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT
09,61903,6095301,2020-2021,172,NT,NT,NT,NT,96,NT,NT,NT,NT,76,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,74,NT,NT,NT,NT,0,0,0,0,0,74,NT,NT,NT,NT,--,NT,NT,NT,NT,60,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,90,NT,NT,NT,NT,0,0,0,0,0,34,NT,NT,NT,NT
37,68338,6096879,2020-2021,245,NT,NT,NT,NT,125,NT,NT,NT,NT,120,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,53,NT,NT,NT,NT,--,NT,NT,NT,NT,148,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,12,NT,NT,NT,NT,44,NT,NT,NT,NT,0,0,0,0,0,24,NT,NT,NT,NT
34,67439,3430154,2020-2021,91,NT,NT,NT,NT,48,NT,NT,NT,NT,43,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,52,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,12,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,73,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
54,72140,0136507,2020-2021,138,111,80.43,19.57,26.13,66,53,80.30,19.70,20.75,72,58,80.56,19.44,31.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,100,79,79.00,21.00,18.99,--,--,--,--,--,27,24,88.89,11.11,50.00,--,--,--,--,--,12,7,58.33,41.67,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,115,92,80.00,20.00,22.83,0,0,0,0,0,--,--,--,--,--
19,64733,1931864,2020-2021,676,555,82.10,17.90,68.18,323,237,73.37,26.63,61.97,353,318,90.08,9.92,72.78,--,--,--,--,--,93,85,91.40,8.60,88.24,--,--,--,--,--,30,29,96.67,3.33,89.66,397,312,78.59,21.41,56.68,19,14,73.68,26.32,57.14,122,100,81.97,18.03,80.00,13,13,100.00,0.00,84.62,59,34,57.63,42.37,2.94,0,0,0,0,0,22,14,63.64,36.36,14.29,0,0,0,0,0,448,354,79.02,20.98,61.32,0,0,0,0,0,56,33,58.93,41.07,15.15
