,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
14864,Olive Grove Charter - Orcutt/Santa Maria,42771980138362,No Data14265,N,93455-5077,34.864148,-120.41978
14866,Olive Grove Charter - Lompoc,42772060138370,No Data14218,N,93436-4145,34.651118,-120.45669
14868,Olive Grove Charter - Buellton,42772140138388,No Data14258,N,93427-9645,34.609844,-120.18716
14870,Olive Grove Charter - Santa Barbara,42772220138396,No Data14229,N,93109-1520,34.401386,-119.72405
14872,EDGE,43104390100339,069103511316,No Data,95126,37.324874,-121.90609
14873,Leadership Public Schools - San Jose,43104390102905,069103511441,N,95122-1712,37.330395,-121.82878
14875,Pathfinder High,43104390108308,069103511443,No Data,95116,37.3463185,-121.8489669
14876,Advent Community Day,43104390111179,069103511790,No Data,95131-2304,No Data,No Data
14879,University Preparatory Academy Charter,43104390113431,069103512016,N,95125-2005,37.292255,-121.87392
14884,Magnolia Science Academy Santa Clara,43104390120261,069103512575,N,95127-3823,37.359212,-121.81610
14887,Silicon Valley Flex Academy,43104390121780,069103512654,N,95037-4530,37.149295,-121.65251
14888,Downtown College Prep - Alum Rock,43104390123257,069103512827,N,95122-1703,37.366747,-121.85791
14890,Summit Public School: Tahoma,43104390123794,069103512625,N,95123-2048,37.252798,-121.81957
14898,Summit Public School: Denali,43104390128090,069103513485,N,94089-2114,37.397256,-122.01549
14906,Opportunity Youth Academy,43104390135087,069103514054,N,95131-2304,37.383909,-121.90023
14915,Santa Clara County Court,43104394330254,069103509045,N,95131-2304,37.383703,-121.90134
14916,Santa Clara County Community,43104394330320,069103507782,N,95131-2304,37.383703,-121.90134
14918,Foundry Community Day,43104394330577,069103508630,No Data,95126,37.32475985000001,-121.90542835403035
14919,Teenage Parent Program,43104394330650,069103510399,No Data,95128,37.316026,-121.9358533671127
14930,Santa Clara County Special Education,43104396069371,069103509250,N,95131-2304,37.383715,-121.90026
15065,Leigh High,43694014330239,060723008122,N,95124-5616,37.243310,-121.92258
15067,Camden Community Day,43694014330718,060723010663,N,95124-2027,37.265035,-121.93935
15068,Boynton High,43694014330759,060723000658,N,95117-2006,37.312297,-121.96601
15069,Branham High,43694014330866,060723008350,N,95118-2201,37.254576,-121.89957
15072,Del Mar High,43694014331955,060723000665,N,95128-3529,37.303262,-121.93030
15074,Prospect High,43694014336137,060723000673,N,95070-3435,37.292868,-122.00238
15075,Westmont High,43694014338505,060723000676,N,95008-5725,37.270126,-121.98595
15125,"Escuela Popular/Center for Training and Careers, Family Learning",43694270107151,061182011449,N,95127-1612,37.369978,-121.83165
15126,California Youth Outreach Academy,43694270107490,061182011450,No Data,95116,37.3565225,-121.8484959
15127,KIPP San Jose Collegiate,43694270116889,061182012236,N,95133-1703,37.368245,-121.86008
15128,Summit Public School: Rainier,43694270123745,061182012769,N,95127-4760,37.346162,-121.80826
15129,Calero High,43694270125427,061182013019,N,95123-4240,37.241321,-121.82663
15130,ACE Charter High,43694270125617,061182013023,N,95133-1703,37.366747,-121.85791
15131,Luis Valdez Leadership Academy,43694270130856,061182013815,N,95122-3730,37.320400,-121.84812
15132,B. Roberto Cruz Leadership Academy,43694270131995,061182013927,N,95127-3823,37.359019,-121.81524
15133,Alpha Cindy Avitia High,43694270132274,061182013926,N,95122-2314,37.330197,-121.82911
15134,Yerba Buena High,43694274330015,061182001310,Y,95122-3730,37.320791,-121.84831
15135,Santa Teresa High,43694274330023,061182001308,Y,95123-4740,37.235085,-121.83050
15136,Independence High,43694274330031,061182001302,Y,95133-1703,37.367797,-121.85961
15139,Phoenix High,43694274330312,061182010318,N,95123-4740,37.235085,-121.83050
15141,Genesis High,43694274330346,061182010319,No Data,95135,37.2991181,-121.7715982
15142,Pegasus High,43694274330353,061182010320,N,95133-1703,37.367797,-121.85961
15143,Apollo High,43694274330361,061182006643,N,95122-1712,37.331920,-121.82990
15146,Alternative Placement Academy Community Day,43694274330551,061182008351,No Data,95125-2005,No Data,No Data
15147,MACSA Academica Calmecac,43694274330601,061182010401,No Data,95133,37.3687068,-121.8599463
15148,Latino College Preparatory Academy,43694274330668,061182010402,N,95127-3823,37.359050,-121.81600
15149,San Jose Conservation Corps Charter,43694274330676,061182010664,N,95112-2703,37.372687,-121.89707
15150,Evergreen Valley High,43694274330692,061182010665,N,95148-3122,37.325201,-121.77866
15151,Escuela Popular Accelerated Family Learning,43694274330726,061182010666,N,95127-1936,37.369029,-121.83170
15152,Foothill High,43694274332318,061182001300,N,95127-1862,37.368063,-121.83867
15153,Andrew P. Hill High,43694274332995,061182001301,Y,95111-1332,37.291923,-121.83173
15154,James Lick High,43694274333639,061182001303,Y,95127-1933,37.368046,-121.83009
15155,Mt. Pleasant High,43694274334900,061182001304,Y,95127-4760,37.345646,-121.80948
15156,Oak Grove High,43694274335204,061182001305,Y,95123-2048,37.251575,-121.81892
15157,William C. Overfelt High,43694274335428,061182001306,Y,95122-1712,37.330593,-121.82838
15158,Piedmont Hills High,43694274335907,061182001307,Y,95132-2497,37.403788,-121.84899
15160,Silver Creek High,43694274337903,061182001309,Y,95121-1845,37.304331,-121.80831
15206,Community Day,43694684330569,061443008353,N,94087-2556,37.352285,-122.03532
15208,Cupertino High,43694684331799,061443001695,N,95014-3411,37.319663,-122.01041
15210,Fremont High,43694684332474,061443001696,N,94087-2556,37.352616,-122.03500
15211,Homestead High,43694684333316,061443001697,N,95014-0203,37.336600,-122.04887
15212,Lynbrook High,43694684334421,061443001698,N,95129-4172,37.300713,-122.00647
15213,Monta Vista High,43694684334462,061443001699,N,95014-4055,37.315469,-122.05719
15217,Dr. TJ Owens Gilroy Early College Academy,43694840114496,061518012174,N,95020,36.968352,-121.56335
15218,Christopher High,43694840118380,061518012264,N,95020-9324,37.038444,-121.60013
15222,MACSA El Portal Leadership Academy,43694844330619,061518010403,No Data,95020-5209,No Data,No Data
15224,Gilroy High,43694844332839,061518001911,N,95020-6333,36.997203,-121.57599
15225,Mt. Madonna High,43694844334850,061518001915,N,95020-7531,37.021389,-121.59534
15272,Los Gatos High,43695344334371,062280003486,N,95030-6917,37.221218,-121.97707
15274,Saratoga High,43695344337762,062280003487,N,95070-4950,37.267304,-122.02871
15299,Advent Academy,43695830100131,062583011251,No Data,95037,37.1151957,-121.6416748
15301,Ann Sobrato High,43695830102368,062583011453,N,95037-2641,37.158768,-121.66775
15304,Live Oak High,43695834333951,062583003877,N,95037-3217,37.146484,-121.63401
15305,Central High (Continuation),43695834334488,062583003873,N,95037-2504,37.154136,-121.67754
15346,Moffett High (Alter.),43696094330486,062631002793,No Data,94043-4725,37.39851925,-122.07508840059114
15348,Los Altos High,43696094334116,062631003929,N,94022-2206,37.384992,-122.10918
15350,Mountain View High,43696094334728,062631003930,N,94040-4559,37.358192,-122.06863
15351,Alta Vista High,43696094334736,062631003931,N,94040-4527,37.361274,-122.06520
15394,Henry M. Gunn High,43696414332904,062961004587,N,94306-3827,37.399966,-122.13179
15396,Palo Alto High,43696414335782,062961004596,N,94301-2321,37.437857,-122.15779
15408,Greendell,43696416048300,062961007797,N,94303-4741,37.417325,-122.10565
15431,Lincoln Plus High,43696660106823,063459011455,N,95126-1926,37.328530,-121.92500
15434,Gunderson High,43696664330080,063459005716,N,95136-2830,37.258238,-121.85269
15436,Community Career Academy (Continuation),43696664330411,063459001503,N,95128-1425,37.327110,-121.93721
15437,Gunderson Plus (Continuation),43696664330429,063459001508,N,95136-2830,37.258273,-121.85275
15438,Willow Glen Plus (Continuation),43696664330445,063459001509,N,95125-3502,37.291588,-121.89640
15439,Pioneer Plus (Continuation),43696664330452,063459001517,N,95118-3126,37.247184,-121.88445
15440,Leland Plus (Continuation),43696664330460,063459002794,N,95120-2142,37.220338,-121.84737
15441,San Jose High Academy Plus,43696664330478,063459002795,N,95116-1109,37.350457,-121.87122
15442,Liberty (Alternative),43696664330502,063459006645,N,95136-2725,37.261577,-121.86537
15443,Crossroads Community Day,43696664330510,063459007428,No Data,95126-2713,37.333377150000004,-121.90633824516621
15444,Downtown College Preparatory,43696664330585,063459008632,N,95110-3617,37.316331,-121.87288
15445,Middle College High,43696664330593,063459008633,N,95128-2723,37.315671,-121.93015
15446,San Jose Community High,43696664330734,063459010667,N,95116-1005,37.351001,-121.87132
15448,Broadway High,43696664332110,063459005709,N,95118-3769,37.261114,-121.87934
15451,Leland High,43696664333522,063459005725,N,95120-2142,37.220338,-121.84737
15452,Abraham Lincoln High,43696664333795,063459005696,N,95126-2002,37.329212,-121.92388
15454,Pioneer High,43696664335949,063459005732,N,95118-3126,37.247184,-121.88445
15457,San Jose High,43696664337200,063459005736,N,95116-1143,37.350457,-121.87122
15459,Willow Glen High,43696664338950,063459005746,N,95125-3502,37.291588,-121.89640
15522,Santa Clara Community Day,43696740125443,063543012999,N,95051-4624,37.342031,-121.99149
15524,Mission Early College High,43696740135970,063543014067,N,95054-1804,37.391216,-121.98204
15528,Santa Clara High,43696744330122,063543007868,N,95051-3736,37.346501,-121.98306
15531,Wilson Alternative,43696744330247,063543008984,N,95050-5215,37.347036,-121.95527
15536,New Valley Continuation High,43696744338406,063543006053,N,95051-2162,37.356890,-121.99573
15537,Adrian Wilcox High,43696744338802,063543006055,N,95051-1153,37.366875,-121.98578
15636,Calaveras Hills,43733874331039,062450003664,N,95035-5707,37.435890,-121.88351
15637,Milpitas High,43733874334470,062450003666,N,95035-3221,37.450802,-121.89981
15670,Santa Cruz County Cypress Charter High,44104470100305,069103611259,N,95062-4176,36.964672,-121.98375
15671,Santa Cruz County Career Advancement Charter,44104470136572,069103614200,N,95076,36.938323,-121.77174
15677,Santa Cruz County Court,44104474430146,069103609251,N,95060,36.987618,-122.03906
15678,Pacific Collegiate Charter,44104474430252,069103608363,N,95060-6225,36.960515,-122.05978
15679,Santa Cruz County Community,44104474430278,069103610668,N,95060-2115,36.987618,-122.03906
15691,Santa Cruz County Special Education,44104476069397,069103608020,N,95060-2115,36.987618,-122.03906
15711,Ben Lomond Youth Conservation Camp,44322764430013,060005907811,No Data,95060,No Data,No Data
15732,Pajaro Valley High,44697990105858,062949011462,N,95076-9453,36.912123,-121.79184
15735,Ceiba College Preparatory Academy,44697990117804,062949012189,N,95076,36.904565,-121.76038
15737,PVUSD Virtual Academy,44697990140335,062949014508,N,95076-4831,36.912347,-121.75267
15739,New School Community Day,44697994430203,062949007436,N,95076-4124,36.914788,-121.77704
15740,Pacific Coast Charter,44697994430229,062949008364,N,95076-1300,36.939578,-121.77011
15742,Diamond Technology Institute,44697994430245,062949008366,N,95076-3184,36.923911,-121.77228
15743,Aptos High,44697994430518,062949004535,N,95003-9641,36.976392,-121.86273
15745,Renaissance High Continuation,44697994437794,062949004548,N,95076-9638,36.926463,-121.84602
15747,Watsonville High,44697994437901,062949004555,N,95076-4831,36.913070,-121.75301
15776,Ocean Grove Charter,44698070110007,063474011464,N,95006,37.171324,-122.13582
15783,SLVUSD Charter,44698074430179,063474002797,N,95005-9403,37.084648,-122.07481
15784,River View High,44698074430260,063474010414,No Data,95005-9403,37.083619,-122.07418
15785,San Lorenzo Valley High,44698074436754,063474005865,N,95018-9718,37.062407,-122.08011
15804,Sequoia Academy,44698230124735,063560012904,N,95062-1430,36.987210,-121.99598
15806,Ark Independent Studies,44698234430096,063560007869,N,95062-1028,36.981154,-122.01414
15807,Delta Charter,44698234430187,063560006664,N,95003-3119,36.988456,-121.92461
15808,Alternative Family Education,44698234430195,063560007437,N,95062-1028,36.980916,-122.01306
15809,Harbor High,44698234432340,063560006063,N,95062-1431,36.987298,-121.99346
15810,Costanoa Continuation High,44698234436960,063560006064,N,95062-1028,36.981154,-122.01414
15812,Santa Cruz High,44698234437109,063560006067,Y,95060-3633,36.971861,-122.03329
15813,Soquel High,44698234437406,063560006068,N,95073-2213,36.992848,-121.95727
15832,California Connections Academy Monterey Bay,44754320139410,060004314429,N,95066-4792,37.042654,-122.02782
15833,Scotts Valley High,44754324430211,060004308369,N,95066-3262,37.073584,-122.00395
15842,Phoenix Program,45104540118976,069103712364,N,96003-0397,40.630408,-122.39938
15844,Magnolia Independent Learning Center,45104540118992,069103712346,N,96001-1515,40.581566,-122.40139
15845,Shasta Independent Learning Center,45104540119008,069103712305,N,96003,No Data,No Data
15846,Northern Summit Academy Shasta,45104540129957,069103713799,N,96007-3563,40.450193,-122.29289
15847,Shasta County Independent Study,45104540132647,069103712305,N,96003-0307,40.629449,-122.39827
15851,Shasta County Juvenile Court,45104544530150,069103702799,N,96001,40.547911,-122.37979
15852,Career Pathways to Success Community School,45104544530317,069103710670,N,96003-0397,40.630408,-122.39938
15872,West Valley Early College High,45698564530028,060270007642,N,96022-9205,40.396824,-122.40665
15873,Oakview High (Alternative),45698564530051,060270005415,N,96007-8645,40.440750,-122.30476
15876,Anderson New Technology High,45698564530333,060270010671,N,96007-3477,40.451972,-122.29972
15877,North Valley High,45698564530762,060270000197,N,96007-8291,40.442175,-122.30295
15878,Anderson High,45698564530804,060270000196,N,96007-3313,40.441396,-122.30590
15910,Shasta View Academy,45699480139543,060945014418,N,96003-8287,40.603532,-122.32629
15926,Redding Collegiate Academy,45699710135848,061281014193,N,96002-2523,40.561832,-122.35690
15937,Mountain View High (Continuation),45699894530010,061347008137,N,96013-4054,40.883213,-121.67232
15940,Soldier Mountain High (Continuation),45699894530226,061347007814,N,96056-8556,41.051249,-121.40223
15943,Burney Junior-Senior High,45699894531000,061347001533,N,96013-4350,40.875397,-121.58870
15944,Fall River Junior-Senior High,45699894533600,061347001536,N,96056-8555,41.046335,-121.40072
15949,Mt. Burney Special Education Center,45699896050314,061347001537,N,96013,40.875383,-121.58722
15980,Stellar Charter,45701100135889,063204014118,N,96001-4535,40.530906,-122.37241
15981,Pathway.com Charter,45701104530291,063204010419,No Data,96007,40.445973,-122.30086285714286
15982,Wonder to Wisdom Charter Academy,45701104530325,063204010420,No Data,96088,40.509575372050364,-121.82529961026223
15983,Stellar Secondary Charter High,45701104530341,063204010673,N,96001-4535,40.531590,-122.37417
16002,University Preparatory,45701360106013,063660011467,N,96001-0337,40.586623,-122.40339
16006,Foothill High,45701364530044,063660010326,N,96073-8644,40.528994,-122.23866
16009,Pioneer Continuation High,45701364530119,063660002813,No Data,96001,0.3143905,32.5968567
16011,Pioneer Continuation High,45701364530200,063660008637,N,96001-0365,40.588682,-122.40838
16012,Freedom High,45701364530218,063660007822,N,96001-0365,40.589118,-122.41215
16013,Art's Charter,45701364530259,063660008390,No Data,96002-0918,40.570430482942676,-122.36533708964096
16014,Shasta Charter Academy,45701364530267,063660008391,N,96001-1937,40.576201,-122.37261
16016,Shasta Collegiate Academy,45701364530309,063660010676,N,96001-0337,40.587313,-122.40450
16018,Enterprise High,45701364532750,063660006210,N,96002-2798,40.558230,-122.35295
16020,Pioneer Continuation High,45701364536256,063660006212,No Data,96001-0365,41.6731849,-71.9175857
16021,Shasta High,45701364537304,063660006213,N,96001-0335,40.586249,-122.40795
16031,New Day Academy - Shasta,45701690134031,064242014052,N,96096,40.631086,-121.90605
16032,Phoenix Charter Academy,45701690136440,064242014159,N,96002-0629,40.575795,-122.35501
16046,Academy of Personalized Learning,45752670120170,061495012533,N,96002-0629,40.575738,-122.35497
16047,Mountain Lakes High,45752674530077,061495001631,N,96019-8401,40.687771,-122.38711
16048,Gateway Educational Options,45752674530101,061495001636,N,96003-1747,40.619515,-122.40295
16050,Gateway Community Day,45752674530176,061495008638,N,96019-8401,40.687771,-122.38711
16051,Lubeles Academy,45752674530275,061495008394,No Data,96019,40.68209207167405,-122.36658687010726
16052,Central Valley High,45752674531901,061495001667,N,96019-9243,40.675694,-122.37377
16067,Sierra County Special Education,46104626077267,069112008098,N,96118,39.679944,-120.24848
16069,Sierra Crest,46701774630018,063678010327,No Data,96118,39.678906,-120.24503
16070,Sierra Summit Academy (Charter),46701774630026,063678007444,No Data,96125,39.565534400000004,-120.6367372
16071,Sierra Pass (Continuation),46701774630034,063678007445,N,96118,39.678906,-120.24503
16074,Pliocene Ridge Junior-Senior H,46701774630653,063678006225,No Data,95960-9610,45.4901861,-74.7182583
16075,Downieville Junior-Senior High,46701774632303,063678006227,N,95936,39.561245,-120.82732
16076,Loyalton High,46701774634259,063678006229,N,96118-0037,39.678906,-120.24503
16085,Golden Eagle Charter,47104700117168,069103812203,N,96067-9626,41.287230,-122.30436
16086,Northern United - Siskiyou Charter,47104700137372,069103814256,N,96097-3018,41.728740,-122.63768
16088,J. Everett Barr Court,47104704730032,069103809252,N,96097,41.709212,-122.64057
16089,Siskiyou County Special Education,47104706069405,069103807221,N,96097-3110,41.729061,-122.64267
16120,Dunsmuir High,47702504732707,061170001294,N,96025-2202,41.210735,-122.27626
16127,Northern Light Charter,47702924730180,061404008639,No Data,96027,41.405345,-122.980505
16165,Options for Youth Charter - Mt. Shasta,47704256115497,062604007847,No Data,96067,41.31529346666667,-122.31478026666666
16174,Jefferson High (Continuation),47704664730057,063694001734,N,96067-9405,41.319834,-122.30193
16176,South County Community Day,47704664730123,063694011805,N,96067-9405,41.319834,-122.30193
16179,Happy Camp High,47704664734356,063694006277,N,96039,41.795350,-123.37807
16180,McCloud High,47704664734901,063694006278,N,95057,41.254194,-122.13461
16181,Mount Shasta High,47704664735403,063694006279,N,96067-2042,41.348148,-122.31398
16182,Weed High,47704664738753,063694006280,N,96094-2415,41.426903,-122.37345
16197,Discovery High,47705164730024,064341007904,N,96097-2359,41.737098,-122.63852
16202,Yreka High,47705164739207,064341007027,N,96097-2456,41.741131,-122.63771
16207,Butte Valley High,47736844731253,060658000590,N,96023-0728,41.964149,-121.92438
16219,Scott River High,47764554730107,060015904089,N,96027,41.460307,-122.90085
16221,Scott Valley Community Day,47764554730206,060015910426,N,96027,41.460450,-122.90077
16222,Etna Union High,47764554733309,060015901474,N,96027-0721,41.460990,-122.89891
16230,Division of Unaccompanied Children's Services (DUCS),48104880123331,069112212709,N,94533-1966,38.271471,-122.04995
16233,Solano County Juvenile Detention Facility - Evergreen Academy,48104884830071,069112209271,N,94533,38.250115,-122.06613
16238,Solano County Special Education,48104886069538,069112206289,N,94533-1615,38.273911,-122.00382
16241,Solano County Community,48104886089668,069112210678,N,94533,38.271411,-122.00674
16244,Community Day,48705240118968,060462012327,N,94510,38.049961,-122.14958
16245,Liberty High,48705244830048,060462000425,N,94510-3437,38.049925,-122.15164
16247,Home Independent Study,48705244830188,060462010428,No Data,94510,38.050721653061224,-122.15133906122449
16248,Benicia High,48705244831004,060462000422,N,94510-2428,38.062989,-122.17349
16256,Dixon Community Day,48705320102012,061128011236,N,95620,38.447550,-121.82001
16258,Maine Prairie High (Continuation),48705324830055,061128001253,N,95620-3019,38.447549,-121.81986
16261,Dixon High,48705324832259,061128001251,N,95620-9301,38.436088,-121.81672
16269,Mary Bird Secondary Community Day,48705400112904,061336011905,No Data,94533,38.265572,-122.02998
16273,H. Glenn Richardson,48705400122093,061336012633,N,94533-2460,38.268130,-122.01243
16276,Public Safety Academy,48705400125310,061336013081,N,94533-1539,38.277401,-122.03878
16282,Mary Bird,48705404830030,061336001511,No Data,94533-4002,38.265608298132165,-122.02986881896199
16283,Angelo Rodriguez High,48705404830170,061336010429,N,94534-9527,38.197706,-122.14461
16285,Armijo High,48705404830451,061336001510,N,94533-5541,38.250617,-122.03907
16286,Fairfield High,48705404833000,061336001516,N,94533-1626,38.276688,-122.03104
16287,Sem Yeto Continuation High,48705404836003,061336001526,N,94533-1626,38.276007,-122.03089
16318,Travis Education Center,48705654830022,063963006597,N,94533-9710,38.282956,-121.96051
16319,Travis Community Day,48705654830154,063963008641,N,94533,38.282980,-121.96051
16320,Travis Independent Study,48705654830162,063963008642,N,94533-9710,38.282898,-121.96051
16321,Vanden High,48705654838801,063963006600,N,94533-6513,38.283235,-121.96929
16329,Vacaville Community Day Prep,48705730109744,064059011474,No Data,95688,38.352929,-121.99040
16333,Ernest Kimme Charter Academy,48705730135095,064059014015,N,95687-6287,38.347867,-121.98956
16338,Will C. Wood High,48705734830089,064059009648,N,95687-5735,38.346124,-121.97474
16339,Buckingham Collegiate Charter Academy,48705734830113,064059002846,Y,95688-5413,38.358348,-121.98383
16340,Country High,48705734833869,064059006698,N,95688-3937,38.358098,-121.98353
16341,Vacaville High,48705734837803,064059006709,N,95688-3829,38.358831,-121.99316
16361,Farragut Academy,48705810101980,064074011224,N,94590-4309,38.112195,-122.26134
16368,Jesse M. Bethel High,48705814830147,064074007861,N,94591-8367,38.116993,-122.20190
16369,MIT Academy,48705814830196,064074010681,N,94589-1825,38.150659,-122.24556
16370,Hogan High,48705814833950,064074006729,No Data,94591-5647,38.101535,-122.21600
16372,John Finney High (Continuation),48705814838058,064074006734,N,94590-2325,38.112407,-122.24433
16373,Vallejo High,48705814838504,064074006739,N,94590-3368,38.113666,-122.24472
16392,Solano Middle,48705816060198,064074006735,N,94589-1844,38.154130,-122.24075
16396,Vallejo Adult Transition,48705816069900,064074007889,N,94590-3349,38.112407,-122.24433
16411,Sonoma County Court,49104964930079,069104009253,N,95403-8246,38.511957,-122.79985
16413,Sonoma County Alternative Education Programs,49104964930343,069104010682,N,95403-8246,38.511957,-122.79985
16426,Sonoma County Special Education,49104966069413,069104007225,N,95403-8246,38.511957,-122.79985
16442,WSCUHSD Community Day,49706070116293,060267012096,N,95472-3453,38.406526,-122.82436
16443,West Sonoma County Consortium,49706070121038,060267012473,N,95472-3431,38.406075,-122.82260
16445,Gerboth (Jack) High,49706074930178,060267004091,No Data,95472-3401,38.4069338,-122.8268463
16447,West Sonoma Charter,49706074930285,060267008643,No Data,95401,38.4431994,-122.7155387
16449,Laguna High,49706074930327,060267000195,N,95436-9642,38.480585,-122.88837
16450,Russian River Charter,49706074930368,060267010683,No Data,95436-9746,38.506908,-122.94741
16451,Analy High,49706074930400,060267000193,N,95472-3401,38.406988,-122.82646
16452,El Molino High,49706074931507,060267000194,N,95436-9642,38.482108,-122.89018
16471,Johanna Echols-Hansen High (Continuation),49706564930848,060897000901,N,95425-3235,38.807152,-123.02102
16472,Cloverdale High,49706564930855,060897000899,N,95425-3324,38.810837,-123.02119
16487,Geyserville New Tech Academy,49707060129981,061515013780,N,95441-9670,38.720150,-122.88534
16488,Buena Vista High,49707064930053,061515007726,N,95441-9670,38.722005,-122.89123
16489,Geyserville Educational Park High,49707064932109,061515001906,No Data,95441,38.722005,-122.89123
16498,California STEAM Sonoma II,49707220136465,061632014078,N,95446-9576,38.511197,-122.99636
16500,California Pacific Charter - Sonoma,49707220139048,061632014414,N,95466-9576,38.510022,-122.99759
16507,Pathways Charter,49707306120588,061662010685,N,94928-2148,38.354348,-122.70888
16523,California Virtual Academy @ Sonoma,49707970107284,062154011478,N,93065-1659,34.275868,-118.79798
16525,California STEAM Sonoma,49707970134296,062154014011,N,91764-5104,34.069036,-117.54899
16526,Heartwood Charter,49707970139568,062154014416,N,94952,38.278930,-122.70568
16539,Pivot Online Charter - North Bay,49708390120584,062784012484,N,95401-2761,38.465963,-122.72884
16540,Pivot Charter School - North Bay,49708390138065,062784014244,N,95403-2761,38.465996,-122.72881
16553,South County Consortium,49708540132357,063023013936,N,94952-2567,38.229273,-122.64419
16564,Gateway to College Academy,49708620128157,063025013360,N,94954-8553,38.267580,-122.63515
16567,Casa Grande High,49708624930012,063025004715,N,94954-5706,38.237149,-122.60173
16568,Carpe Diem High (Continuation),49708624930103,063025001786,N,94952-2516,38.227894,-122.64617
16569,Sonoma Mountain High (Continuation),49708624930111,063025001788,N,94954-5604,38.236770,-122.60207
16570,Valley Oaks High (Alternative),49708624930236,063025005439,N,94952-3364,38.237785,-122.62786
16572,Petaluma High,49708624935151,063025004723,N,94952-2516,38.227913,-122.64619
16573,San Antonio High (Continuation),49708624935862,063025004725,N,94952-3364,38.238199,-122.62865
16581,Northwest Prep Charter,49708700106344,063045011480,N,95401-4035,38.467124,-122.77276
16601,Roseland Charter,49709040101923,063351011178,N,95407-6928,38.420990,-122.73520
16632,Abraxis Charter,49709200108811,063583011483,N,95401-4729,38.447201,-122.72653
16633,Lewis Opportunity,49709200110288,063583011807,N,95404-2422,38.461781,-122.71644
16634,Arts & Ethics Academy WASC Accredited Charter High,49709200113126,063583011887,No Data,95407-6608,38.423517,-122.76887
16638,Nueva Vista High,49709204930137,063583002847,N,95404-2422,38.461781,-122.71644
16639,Mesa High,49709204930145,063583002849,N,95401-4312,38.453139,-122.71742
16640,Elsie Allen High,49709204930160,063583004108,N,95407-7713,38.401892,-122.73463
16641,Grace High,49709204930202,063583005446,N,95403-1815,38.460742,-122.76895
16642,Midrose High,49709204930210,063583005455,N,95407-7713,38.401892,-122.73463
16643,Maria Carrillo High,49709204930244,063583006679,N,95409-2787,38.478707,-122.66132
16645,Montgomery High,49709204934154,063583006127,N,95405-6934,38.439925,-122.68535
16646,Piner High,49709204935292,063583006128,N,95403-1815,38.460344,-122.76958
16647,Ridgway High (Continuation),49709204935607,063583006130,N,95401-4334,38.449562,-122.72183
16649,Santa Rosa High,49709204936803,063583006132,N,95401-4312,38.453139,-122.71742
16666,Creekside High,49709534930152,063720002851,N,95476-7413,38.283841,-122.45895
16669,Sonoma Valley High,49709534937256,063720006304,N,95476-7413,38.282925,-122.45910
16680,Orchard View,49709614930319,064023008651,N,95472-3917,38.389205,-122.85142
16704,Credo High,49738820123786,060994012635,N,94928-4931,38.323575,-122.68170
16705,Academy of Arts and Sciences: Sonoma,49738820127092,060994013111,N,91361-2851,34.155695,-118.83089
16710,El Camino High,49738824930046,060994001076,N,94928-2041,38.341098,-122.68544
16712,Phoenix High (Continuation),49738824930194,060994004119,No Data,94928,38.344421673469384,-122.685397
16713,Technology High,49738824930384,060994010688,N,94928-3613,38.334687,-122.69957
16714,Rancho Cotate High,49738824935482,060994001081,N,94928-2906,38.340966,-122.68537
16732,Insight School of California - North Bay,49753580117986,060003412211,No Data,95492,38.547468,-122.80662
16733,"Bridges Community Based School, North County Consortium",49753580121236,060003412585,N,95492-8089,38.549433,-122.81405
16735,North Bay Met Academy,49753580138263,060003414243,N,95492-9511,38.541167,-122.81961
16737,Windsor High,49753584930228,060003405470,N,95492-9511,38.542964,-122.81687
16738,Windsor Oaks Academy,49753584930269,060003408652,Y,95492-9511,38.542789,-122.81687
16747,Marce Becerra Academy,49753904930251,060004406727,N,95448-3449,38.621403,-122.86798
16748,Healdsburg High,49753904932554,060004402140,N,95448-3449,38.621437,-122.86803
16756,Archway Academy,50105040101501,069104111212,No Data,95350-5803,37.64721663265306,-121.01061293877551
16759,Stanislaus Alternative Charter,50105040129023,069104113669,N,95354-2338,37.639359,-120.99615
16760,John B Allard,50105040131235,069104113818,Y,95307-9458,37.589387,-120.93879
16761,Stanislaus County West Campus,50105045030069,069104109050,N,95358,37.660477,-121.04147
16762,Stanislaus Military Academy at Teel,50105045030085,069104111486,N,95319,37.639937,-120.89805
16764,Petersen Alternative Center for Education,50105045030226,069104107887,N,95350-5803,37.647640,-121.01083
16765,Valley College High,50105045030234,069104108409,N,95358-1052,37.662448,-121.04282
16766,Stanislaus Teen Recovery,50105045030309,069104110689,No Data,95358,37.660520399999996,-121.0405092
16767,Community Middle College,50105045030325,069104110690,No Data,95350,37.64721663265306,-121.01061293877551
16769,Stanislaus County Special Education,50105046069546,069104107228,N,95351-5121,37.611223,-120.96157
16774,Whitmore Charter High,50710430107136,060813011488,N,95307-9436,37.583917,-120.93328
16775,Central Valley High,50710430108076,060813011489,N,95307-7507,37.579662,-120.95697
16787,Ceres Special Education,50710430133827,060813014023,N,95307-3301,37.590596,-120.94946
16789,Endeavor Alternative,50710435030168,060813005472,N,95307-3341,37.590216,-120.94854
16790,Argus High (Continuation),50710435030200,060813000782,N,95307-0307,37.590216,-120.94854
16791,Ceres High,50710435030879,060813000785,N,95307-2502,37.595639,-120.95683
