,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
1589,John Henry High,07773540132233,No Data13892,N,94804-2411,37.912765,-122.35488
1592,Bar-O,08100820106666,069106310763,N,95543,41.982874,-123.71893
1593,Klamath River Early College of the Redwoods,08100820109777,069106311577,No Data,95531,41.772906,-124.19993
1595,Paragon/Avalon Independent Study,08100820830018,069106310184,No Data,95531,41.767377,-124.20489
1597,Del Norte Community,08100820830042,069106308462,N,95531-2137,41.767783,-124.20745
1598,Castle Rock,08100820830059,069106308694,N,95531-2113,41.767856,-124.21144
1600,Juvenile Hall/Bar-O,08100820840017,069106308048,No Data,95531-8340,No Data,No Data
1606,Del Norte High,08618200833004,061077001193,N,95531-2110,41.767313,-124.20913
1607,Sunset High,08618200836205,061077001200,N,95531-8461,41.809252,-124.15409
1621,Blue Ridge,09100900106047,069100610766,N,95610,38.934026,-119.97346
1628,Golden Ridge,09100900930016,069100607386,N,95667,38.727271,-120.82766
1629,Charter Community School Home Study Academy,09100900930123,069100601981,N,95667-8984,38.720320,-120.86639
1630,Rite of Passage,09100900930131,069100602957,N,89447,39.082400,-119.21840
1631,Charter Transitional Reporting Educational Center (TREC II),09100900930172,069100608463,No Data,95667,38.7259252782735,-120.82742539754331
1632,Charter Transitional Reporting Educational Center (TREC I),09100900930180,069100608464,No Data,96150,38.904125,-119.998015
1634,Special Education,09100906069470,069100609218,N,95667-8984,38.720320,-120.86639
1644,Clarksville Charter,09618380136200,060627014165,N,95762-9825,38.633603,-121.06708
1646,Cottonwood,09618380139006,060627014444,N,95762-9343,38.629222,-121.07192
1657,Mountain View High,09618530101808,061207011234,N,95623-4328,38.681607,-120.83827
1660,Oak Ridge High,09618530930081,061207007279,N,95762-4324,38.681693,-121.07067
1661,Independent Learning Center (Alternative),09618530930149,061207002961,No Data,95619-1450,38.693266,-120.82212
1662,Union Mine High,09618530930164,061207007957,N,95623-4328,38.681607,-120.83827
1663,EDUHSD Community Day,09618530930206,061207008695,N,95619-9478,38.693266,-120.82212
1664,Pacific Crest Academy,09618530930214,061207010478,N,95623-4328,38.681781,-120.83825
1665,Vista High,09618530930222,061207010479,N,95667-4396,38.732336,-120.81274
1667,El Dorado High,09618530932756,061207001342,N,95667-4312,38.732336,-120.81274
1668,Independence Continuation,09618530934554,061207001343,N,95619-1450,38.693266,-120.82212
1669,Ponderosa High,09618530936302,061207001344,N,95682-9435,38.673083,-120.94318
1685,Mt. Tallac High,09619030930040,062064002479,N,96150-3718,38.907361,-120.01261
1686,Transitional Learning Center (Continuation),09619030930107,062064000301,N,96150-3718,38.907361,-120.01261
