CDSCODE,C,D,S,SARCYear,AVGEN_Y1,NCSEN_Y1,NCMEN_Y1,NCLEN_Y1,AVGMA_Y1,NCSMA_Y1,NCMMA_Y1,NCLMA_Y1,AVGSC_Y1,NCSSC_Y1,NCMSC_Y1,NCLSC_Y1,AVGSS_Y1,NCSSS_Y1,NCMSS_Y1,NCLSS_Y1,AVGEN_Y2,NCSEN_Y2,NCMEN_Y2,NCLEN_Y2,AVGMA_Y2,NCSMA_Y2,NCMMA_Y2,NCLMA_Y2,AVGSC_Y2,NCSSC_Y2,NCMSC_Y2,NCLSC_Y2,AVGSS_Y2,NCSSS_Y2,NCMSS_Y2,NCLSS_Y2,AVGEN_Y3,NCSEN_Y3,NCMEN_Y3,NCLEN_Y3,AVGMA_Y3,NCSMA_Y3,NCMMA_Y3,NCLMA_Y3,AVGSC_Y3,NCSSC_Y3,NCMSC_Y3,NCLSC_Y3,AVGSS_Y3,NCSSS_Y3,NCMSS_Y3,NCLSS_Y3
40688336043343,40,68833,6043343,2020-21,13,11,,,11,13,,,20,2,,,,,,,20,4,,,10,4,,,20,2,,,20,2,,,24,,4,,12,4,,,24,,2,,24,,2,
36676783631769,36,67678,3631769,2020-21,6,39,,,10,12,,,12,6,,,8,22,,,5,29,,,11,10,,,8,5,,,7,23,,,5,40,,,11,12,,,6,12,,,7,27,,
56105610135780,56,10561,0135780,2020-21,3,12,,,10,3,,,8,3,,,8,4,,,3,14,,,11,4,,,10,3,,,9,4,,,3,15,,,4,4,,,6,2,,,10,2,,
19734601939149,19,73460,1939149,2020-21,25,27,51,17,24,34,33,26,23,34,40,5,21,38,38,9,26,19,53,13,25,25,38,22,22,36,42,3,19,50,33,4,25,26,45,20,26,23,36,22,22,37,39,5,23,30,30,9
42767860120402,42,76786,0120402,2020-21,4,22,,,5,7,,,4,5,,,6,33,,,4,30,,,5,9,,,5,8,,,5,35,,,3,25,,,3,9,,,4,6,,,5,31,,
19651361931740,19,65136,1931740,2020-21,28,25,16,54,27,25,23,42,28,17,15,44,24,25,22,29,26,34,27,45,25,36,22,40,29,13,28,33,23,27,34,20,27,27,30,43,28,14,45,29,31,10,27,32,23,31,33,16
58727366056626,58,72736,6056626,2020-21,24,9,5,2,25,4,10,,32,,7,5,31,,7,5,28,,13,2,26,3,11,2,31,,9,6,31,,10,3,23,15,16,10,23,8,11,1,30,1,8,5,32,,7,6
37683380122788,37,68338,0122788,2020-21,11,12,,,12,7,1,,11,8,1,,14,7,1,,18,6,2,,19,7,2,,14,8,,,19,4,2,,17,7,2,,20,7,1,,19,3,3,,21,4,3,
04614240110551,04,61424,0110551,2020-21,17,2,,,7,5,,,17,2,,,17,2,,,16,2,,,8,4,,,16,2,,,16,2,,,,,,,,,,,12,2,,,,,,
19646671996420,19,64667,1996420,2020-21,18,43,14,4,23,24,32,6,25,11,11,8,24,10,19,3,22,27,28,5,22,33,22,6,27,4,18,6,24,12,15,4,20,30,23,6,20,29,35,1,23,9,19,2,23,19,12,
19651361996321,19,65136,1996321,2020-21,26,1,15,,26,4,2,3,25,,8,,25,3,12,,25,1,15,,22,5,5,,26,,8,,26,2,13,,26,1,15,,23,4,5,1,26,,8,,24,2,13,
01611190130609,01,61119,0130609,2020-21,18,11,8,,19,10,5,,22,7,7,,24,4,7,,17,15,7,,24,4,7,1,24,3,10,,27,3,8,2,21,6,11,,22,7,5,,22,6,8,,27,1,10,1
33752420109652,33,75242,0109652,2020-21,4,3,,,6,2,,,6,2,,,8,1,,,5,4,,,5,4,,,6,4,,,7,2,,,6,4,,,6,4,,,4,5,,,6,2,,
19647336068431,19,64733,6068431,2020-21,18,32,18,7,23,16,18,13,23,14,15,12,23,14,16,9,21,23,27,4,23,16,21,6,25,12,12,13,20,18,20,6,19,25,24,4,22,17,32,1,24,11,22,4,22,13,23,4
37683956040513,37,68395,6040513,2020-21,30,,6,,30,,6,,30,,6,,30,,6,,31,,8,,31,,8,,31,,8,,31,,8,,29,,8,,29,,8,,29,,8,,29,,8,
19647330122655,19,64733,0122655,2020-21,27,,3,,27,,3,,27,,3,,27,,3,,26,,4,,24,,2,,24,,2,,26,,4,,27,,4,,27,,4,,27,,4,,27,,4,
37735690136267,37,73569,0136267,2020-21,11,43,6,,10,47,3,,15,23,5,,10,27,6,,12,34,4,,8,48,2,,10,29,3,,9,28,1,,9,49,1,,8,54,1,,8,39,1,,8,45,,
19642871938166,19,64287,1938166,2020-21,22,34,32,23,25,23,32,18,25,17,22,12,25,15,22,19,24,30,28,25,25,25,33,17,28,12,15,28,24,20,21,19,20,22,30,,23,14,21,1,21,12,19,,26,5,24,2
58727365830096,58,72736,5830096,2020-21,14,9,,,10,14,,,10,9,,,11,12,,,10,11,,,8,17,,,8,5,,,13,11,,,7,18,1,,6,12,,,2,3,,,6,12,1,
34674476034870,34,67447,6034870,2020-21,19,17,11,4,25,7,10,5,30,3,6,8,23,8,10,2,20,14,9,5,24,9,11,4,30,1,8,7,22,8,11,2,22,9,8,5,24,8,9,4,27,4,6,6,24,5,10,2
20652430131086,20,65243,0131086,2020-21,8,10,,,8,6,,,6,6,,,8,6,,,5,11,,,9,4,,,8,4,,,6,6,,,5,15,,,9,5,,,8,4,,,7,7,,
30736503030152,30,73650,3030152,2020-21,25,16,25,17,27,10,62,2,29,3,48,5,26,8,38,3,23,20,33,9,31,3,50,11,29,3,46,7,26,8,29,6,26,14,36,10,26,9,41,4,25,9,39,1,23,15,39,
19647330111625,19,64733,0111625,2020-21,23,13,16,5,25,10,13,6,27,5,8,7,30,2,13,5,26,11,11,9,27,7,13,6,26,6,12,2,27,3,9,3,22,17,11,4,21,16,16,2,22,13,9,2,25,6,10,1
15633216009005,15,63321,6009005,2020-21,22,12,19,5,21,19,15,3,21,17,13,3,24,7,17,5,18,27,21,1,21,17,15,3,22,14,14,3,22,11,19,1,18,25,19,2,21,14,21,1,21,13,19,1,21,16,15,2
01750930138453,01,75093,0138453,2020-21,9,9,,,11,4,,,7,4,,,10,7,,,10,8,,,8,4,,,8,4,,,11,5,,,7,9,,,6,4,,,8,4,,,11,5,,
37681976038558,37,68197,6038558,2020-21,26,12,20,6,27,6,21,4,31,,15,12,29,2,21,5,25,11,12,10,26,9,17,4,30,,20,6,30,1,16,8,24,11,18,4,29,6,10,10,33,,9,12,32,1,7,14
19647336061477,19,64733,6061477,2020-21,30,13,6,32,27,19,9,28,32,8,4,27,32,10,7,29,27,16,6,33,29,12,7,31,30,8,3,22,30,12,5,32,28,15,9,29,29,10,12,25,31,5,7,15,30,7,15,23
55724135530100,55,72413,5530100,2020-21,1,2,,,1,1,,,1,2,,,1,3,,,1,1,,,1,1,,,1,1,,,,,,,1,4,,,1,4,,,1,3,,,1,3,,
56737595637004,56,73759,5637004,2020-21,23,35,39,20,27,20,9,33,27,15,22,25,28,16,9,34,23,32,41,17,25,25,16,28,27,13,17,22,26,19,10,33,20,52,52,1,23,28,45,2,24,22,35,2,24,28,41,4
31669443130077,31,66944,3130077,2020-21,4,14,,,3,24,,,4,8,,,17,1,2,,4,14,,,3,16,1,,2,12,,,9,7,1,,3,11,,,3,9,,,2,9,,,9,4,,
34674393431012,34,67439,3431012,2020-21,19,34,45,6,26,11,37,10,24,18,28,13,23,24,42,14,18,46,32,16,26,14,27,17,22,21,33,7,20,40,36,17,20,36,37,15,25,12,32,15,24,17,50,19,21,35,28,26
31669106031249,31,66910,6031249,2020-21,24,9,22,2,24,7,16,1,25,3,22,,27,2,22,,25,7,20,,25,6,18,,26,5,18,,26,5,18,,25,3,19,1,27,2,18,1,26,4,18,,24,6,16,1
12630400129114,12,63040,0129114,2020-21,29,,4,,24,1,4,,24,1,4,,30,,4,,26,1,4,,30,,4,,30,,4,,30,,4,,23,2,,2,47,,,2,46,,,2,47,,,2
